symbol,threshold,window,start,end,samples,signals,precision,recall,f1,auc,return_pct,profit_factor
HBAR,0.6600000000000001,1,2026-07-08 18:00:00,2026-07-15 15:00:00,166,3,0.0,0.0,0.0,0.6208445642407907,-0.06272296337581779,0.9012709408916151
HBAR,0.6600000000000001,2,2026-07-15 16:00:00,2026-07-22 13:00:00,166,1,0.0,0.0,0.0,0.6424242424242423,-0.2323352472634308,0.0
HBAR,0.6600000000000001,3,2026-07-22 14:00:00,2026-07-29 10:00:00,165,14,0.07142857142857142,0.16666666666666666,0.1,0.6593291404612159,2.7072447908505133,2.8204894221183
HYPE,0.7600000000000002,1,2026-07-08 18:00:00,2026-07-15 15:00:00,166,0,0.0,0.0,0.0,0.5975155279503105,0.0,0.0
HYPE,0.7600000000000002,2,2026-07-15 16:00:00,2026-07-22 13:00:00,166,1,1.0,0.1111111111111111,0.2,0.6411889596602972,1.4618718619268847,inf
HYPE,0.7600000000000002,3,2026-07-22 14:00:00,2026-07-29 10:00:00,165,0,0.0,0.0,0.0,0.7542735042735043,0.0,0.0
ICP,0.7400000000000002,1,2026-07-08 18:00:00,2026-07-15 15:00:00,166,1,0.0,0.0,0.0,0.6121726822363764,0.5064791879642663,inf
ICP,0.7400000000000002,2,2026-07-15 16:00:00,2026-07-22 13:00:00,166,0,0.0,0.0,0.0,0.6121212121212121,0.0,0.0
ICP,0.7400000000000002,3,2026-07-22 14:00:00,2026-07-29 10:00:00,165,1,0.0,0.0,0.0,0.7766726943942134,0.28174672661708944,inf
INJ,0.7600000000000002,1,2026-07-08 18:00:00,2026-07-15 15:00:00,166,8,0.25,0.2,0.2222222222222222,0.5942307692307693,3.5557836461325154,7.386031184949749
INJ,0.7600000000000002,2,2026-07-15 16:00:00,2026-07-22 13:00:00,166,4,0.25,0.1,0.14285714285714285,0.6583333333333334,1.3436284124284936,36.188282392245235
INJ,0.7600000000000002,3,2026-07-22 14:00:00,2026-07-29 10:00:00,165,1,0.0,0.0,0.0,0.7407718120805369,-0.3896895102126805,0.0
IP,0.8100000000000003,1,2026-07-12 08:00:00,2026-07-18 00:00:00,137,3,0.3333333333333333,0.05263157894736842,0.09090909090909091,0.6810883140053523,0.997403054613387,2.1845840238489234
IP,0.8100000000000003,2,2026-07-18 01:00:00,2026-07-23 17:00:00,137,0,0.0,0.0,0.0,,0.0,0.0
IP,0.8100000000000003,3,2026-07-23 18:00:00,2026-07-29 10:00:00,137,0,0.0,0.0,0.0,0.7214640198511166,0.0,0.0
JTO,0.8300000000000003,1,2026-07-09 00:00:00,2026-07-15 19:00:00,164,0,0.0,0.0,0.0,0.656547619047619,0.0,0.0
JTO,0.8300000000000003,2,2026-07-15 20:00:00,2026-07-22 15:00:00,164,2,0.0,0.0,0.0,0.6540834845735026,0.5637507437665473,inf
JTO,0.8300000000000003,3,2026-07-22 16:00:00,2026-07-29 10:00:00,163,0,0.0,0.0,0.0,0.6743402582818642,0.0,0.0
JUP,0.7900000000000003,1,2026-07-09 00:00:00,2026-07-15 19:00:00,164,4,0.5,0.09090909090909091,0.15384615384615385,0.733674775928297,0.5254751766786858,1.319134012896327
JUP,0.7900000000000003,2,2026-07-15 20:00:00,2026-07-22 15:00:00,164,0,0.0,0.0,0.0,0.5025974025974026,0.0,0.0
JUP,0.7900000000000003,3,2026-07-22 16:00:00,2026-07-29 10:00:00,163,1,0.0,0.0,0.0,0.8015873015873016,0.21978078007072877,inf
KAS,0.7300000000000002,1,2026-07-09 00:00:00,2026-07-15 19:00:00,164,0,0.0,0.0,0.0,0.5063291139240507,0.0,0.0
KAS,0.7300000000000002,2,2026-07-15 20:00:00,2026-07-22 15:00:00,164,0,0.0,0.0,0.0,0.20858895705521474,0.0,0.0
KAS,0.7300000000000002,3,2026-07-22 16:00:00,2026-07-29 10:00:00,163,2,0.0,0.0,0.0,0.6273291925465838,0.6839949093016245,inf
KTA,0.6700000000000002,1,2026-07-09 00:00:00,2026-07-15 19:00:00,164,9,0.3333333333333333,0.23076923076923078,0.2727272727272727,0.7784004075394804,5.90907984105193,8.17573090296164
KTA,0.6700000000000002,2,2026-07-15 20:00:00,2026-07-22 15:00:00,164,4,0.25,0.1111111111111111,0.15384615384615385,0.7734767025089606,1.7208006763079153,8.195305650094143
